Date,cnn_forecast,lstm_forecast,hybrid_forecast
2025-11-18,15476.695981806704,15603.755531693121,15625.953715532689
2025-11-19,15400.874498492987,15586.69353965417,15597.721052730776
2025-11-20,15342.84755202042,15572.460095794782,15584.733044315806
2025-11-21,15290.01945160306,15560.07458817685,15573.442893346419
2025-11-24,15242.777050836106,15549.900192915638,15562.871444960194
