Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Healthcare,CIPLA_NS,CNN,677.01,26.02,20.19,0.02,52.32,1.38
Healthcare,CIPLA_NS,LSTM,809.74,28.46,21.06,0.02,51.05,1.44
Healthcare,CIPLA_NS,HYBRID,670.79,25.9,19.56,0.02,50.84,1.34
