Portfolio,StartValue,ActualEndValue,PredEndValue,ActualReturn_pct,PredReturn_pct,Error_pct
Minimum Variance,100000.0,105962.04,104480.74,5.96,4.48,-1.4
Mean Variance,100000.0,111789.25,110482.76,11.79,10.48,-1.17
