Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Chemicals,PIIND_NS,CNN,8903.33,94.36,67.8,0.02,47.89,1.8
Chemicals,PIIND_NS,LSTM,11026.55,105.01,73.69,0.03,47.68,1.96
Chemicals,PIIND_NS,HYBRID,9487.16,97.4,67.69,0.03,47.47,1.79
