Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
FMCG,TATACONSUM_NS,CNN,493.44,22.21,16.85,0.02,46.41,1.58
FMCG,TATACONSUM_NS,LSTM,554.59,23.55,17.09,0.02,49.79,1.59
FMCG,TATACONSUM_NS,HYBRID,423.41,20.58,15.24,0.02,49.79,1.42
