Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Metal,TATASTEEL_NS,CNN,14.62,3.82,2.93,0.03,49.37,1.96
Metal,TATASTEEL_NS,LSTM,18.38,4.29,3.13,0.03,50.63,2.11
Metal,TATASTEEL_NS,HYBRID,14.0,3.74,2.75,0.02,49.58,1.85
