Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Bank,ICICIBANK_NS,CNN,645.11,25.4,20.42,0.02,45.57,1.63
Bank,ICICIBANK_NS,LSTM,526.75,22.95,17.5,0.02,47.47,1.43
Bank,ICICIBANK_NS,HYBRID,416.76,20.41,15.67,0.02,46.41,1.27
