Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Pharma,DRREDDY_NS,CNN,463.47,21.53,16.71,0.02,52.53,1.35
Pharma,DRREDDY_NS,LSTM,553.29,23.52,17.73,0.02,53.59,1.44
Pharma,DRREDDY_NS,HYBRID,465.42,21.57,16.78,0.02,52.95,1.36
