Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
OilGas,ONGC_NS,CNN,45.67,6.76,4.81,0.03,49.79,1.94
OilGas,ONGC_NS,LSTM,64.1,8.01,5.64,0.03,47.47,2.28
OilGas,ONGC_NS,HYBRID,48.22,6.94,4.95,0.03,50.42,2.01
