Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
OilGas,BPCL_NS,CNN,78.95,8.89,6.52,0.03,50.63,2.23
OilGas,BPCL_NS,LSTM,81.6,9.03,6.55,0.03,51.27,2.29
OilGas,BPCL_NS,HYBRID,67.14,8.19,5.97,0.03,47.89,2.07
