Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
FMCG,ITC_NS,CNN,47.79,6.91,5.19,0.02,46.62,1.21
FMCG,ITC_NS,LSTM,58.98,7.68,5.54,0.02,45.99,1.29
FMCG,ITC_NS,HYBRID,43.71,6.61,4.81,0.02,49.79,1.12
