Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Chemicals,SOLARINDS_NS,CNN,220698.95,469.79,355.24,0.04,48.73,3.09
Chemicals,SOLARINDS_NS,LSTM,192590.23,438.85,328.41,0.04,50.84,3.04
Chemicals,SOLARINDS_NS,HYBRID,162194.59,402.73,296.15,0.04,49.16,2.69
