date,close,close_scaled
2023-01-02,8158.75634765625,-1.5970881044943093
2023-01-03,8138.80419921875,-1.6073263136514193
2023-01-04,8177.68896484375,-1.5873730557483403
2023-01-05,8214.873046875,-1.568292483531087
2023-01-06,8139.0947265625,-1.6071772329787044
2023-01-09,8133.22216796875,-1.610190667013567
2023-01-10,8051.8115234375,-1.651965577065836
2023-01-11,8043.3642578125,-1.656300191583432
2023-01-12,8125.6484375,-1.6140770372900082
2023-01-13,8207.3984375,-1.572127990989778
2023-01-16,8136.23046875,-1.6086469930226475
2023-01-17,8232.5927734375,-1.559199815274234
2023-01-18,8246.865234375,-1.551876070629764
2023-01-19,8254.244140625,-1.5480896720985555
2023-01-20,8194.1943359375,-1.5789035196478607
2023-01-23,8172.154296875,-1.5902131052024993
2023-01-24,8445.6572265625,-1.4498683093528417
2023-01-25,8528.474609375,-1.4073715481777294
2023-01-26,8528.474609375,-1.4073715481777294
2023-01-27,8483.23046875,-1.430588044200876
2023-01-30,8560.4169921875,-1.3909806919631575
2023-01-31,8636.4384765625,-1.351971165750814
2023-02-01,8513.66796875,-1.4149694008153928
2023-02-02,8612.021484375,-1.3645004567084384
2023-02-03,8682.0703125,-1.3285557284602123
2023-02-06,8648.7685546875,-1.3456441318896388
2023-02-07,8507.455078125,-1.4181574722097217
2023-02-08,8577.6015625,-1.3821626328110033
2023-02-09,8545.0771484375,-1.3988521514825099
2023-02-10,8554.9306640625,-1.3937959363978227
2023-02-13,8553.087890625,-1.3947415338076152
2023-02-14,8519.10546875,-1.412179211955974
2023-02-15,8587.9423828125,-1.376856363085359
2023-02-16,8548.86328125,-1.396909342177918
2023-02-17,8551.4365234375,-1.3955889133624422
2023-02-20,8440.6572265625,-1.4524340002580545
2023-02-21,8417.548828125,-1.4642918017990803
2023-02-22,8406.9658203125,-1.4697223471779457
2023-02-23,8443.1806640625,-1.45113912812933
2023-02-24,8408.4716796875,-1.4689496332373524
2023-02-27,8380.9951171875,-1.4830489065399048
2023-02-28,8373.3740234375,-1.4869595807243348
2023-03-01,8509.10546875,-1.4173105937663995
2023-03-02,8299.97265625,-1.5246246247689663
2023-03-03,8350.9453125,-1.498468608657933
2023-03-06,8380.2666015625,-1.4834227357225784
2023-03-07,8380.2666015625,-1.4834227357225784
2023-03-08,8440.900390625,-1.4523092234933284
2023-03-09,8293.37109375,-1.5280121385422551
2023-03-10,8351.236328125,-1.4983192774294656
2023-03-13,8270.5068359375,-1.5397446622070496
2023-03-14,8264.439453125,-1.5428580679871449
2023-03-15,8228.3212890625,-1.5613916769967733
2023-03-16,8191.9130859375,-1.580074116123364
2023-03-17,8074.8212890625,-1.6401583877868076
2023-03-20,7980.40185546875,-1.688608604196174
2023-03-21,7988.9462890625,-1.6842241290838382
2023-03-22,8012.248046875,-1.6722671074648374
2023-03-23,8110.11474609375,-1.6220479674430879
2023-03-24,8003.0244140625,-1.6770001056288484
2023-03-27,8037.4423828125,-1.6593389317492933
2023-03-28,7969.916015625,-1.6939892889802997
2023-03-29,8053.89892578125,-1.65089445122406
2023-03-30,8053.89892578125,-1.65089445122406
2023-03-31,8050.84130859375,-1.6524634313459783
2023-04-03,8255.603515625,-1.5473921248837006
2023-04-04,8255.603515625,-1.5473921248837006
2023-04-05,8201.2333984375,-1.5752915079203658
2023-04-06,8268.80859375,-1.5406160951141132
2023-04-07,8268.80859375,-1.5406160951141132
2023-04-10,8286.76953125,-1.531399652315544
2023-04-11,8407.5498046875,-1.469422682498001
2023-04-12,8370.1689453125,-1.4886042286834966
2023-04-13,8418.4716796875,-1.4638182514269267
2023-04-14,8418.4716796875,-1.4638182514269267
2023-04-17,8422.208984375,-1.4619004976975811
2023-04-18,8478.5224609375,-1.4330039027661166
2023-04-19,8427.35546875,-1.4592596400666296
2023-04-20,8461.046875,-1.4419712931467383
2023-04-21,8309.3916015625,-1.5197914043039706
2023-04-24,8219.77734375,-1.5657759015533566
2023-04-25,8222.447265625,-1.5644058626988935
2023-04-26,8259.341796875,-1.54547387004285
2023-04-27,8294.3427734375,-1.5275135325948552
2023-04-28,8339.5859375,-1.5042975376832135
2023-05-01,8339.5859375,-1.5042975376832135
2023-05-02,8521.435546875,-1.4109835599052243
2023-05-03,8541.291015625,-1.4007949607871018
2023-05-04,8544.494140625,-1.3991513150509498
2023-05-05,8688.236328125,-1.3253917104181199
2023-05-08,8812.1220703125,-1.2618212060149174
2023-05-09,8846.3955078125,-1.2442341966380912
2023-05-10,8901.3486328125,-1.2160356500329863
2023-05-11,8991.400390625,-1.169826654829394
2023-05-12,9024.8955078125,-1.1526390313219925
2023-05-15,8939.3583984375,-1.1965313880383193
2023-05-16,8807.365234375,-1.264262120155404
2023-05-17,8854.0185546875,-1.2403225202306514
2023-05-18,8789.8408203125,-1.2732545661112722
2023-05-19,8840.9580078125,-1.24702438549751
2023-05-22,8890.18359375,-1.2217648578687867
2023-05-23,8932.951171875,-1.1998191806221283
2023-05-24,9000.962890625,-1.1649197709731745
2023-05-25,9011.740234375,-1.159389504404829
2023-05-26,9126.4033203125,-1.1005514970541324
2023-05-29,9061.88671875,-1.1336574286269618
