Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
OilGas,IOC_NS,CNN,21.86,4.68,3.28,0.03,53.8,2.24
OilGas,IOC_NS,LSTM,43.0,6.56,3.74,0.04,53.16,2.5
OilGas,IOC_NS,HYBRID,26.58,5.16,3.13,0.04,54.01,2.09
