Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Healthcare,APOLLOHOSP_NS,CNN,17935.98,133.93,101.51,0.02,48.31,1.5
Healthcare,APOLLOHOSP_NS,LSTM,20588.91,143.49,103.36,0.02,52.32,1.56
Healthcare,APOLLOHOSP_NS,HYBRID,17348.89,131.72,95.76,0.02,51.05,1.43
